file_id,view_url,download_url
17x0oqUTtPk3X9WzY93LWhRiMaFFYxvhQ,https://drive.google.com/uc?export=view&id=17x0oqUTtPk3X9WzY93LWhRiMaFFYxvhQ,https://drive.google.com/uc?export=download&id=17x0oqUTtPk3X9WzY93LWhRiMaFFYxvhQ
17zcSbNlHrjZ8x9KoHf1_ROrVpmvZwidu,https://drive.google.com/uc?export=view&id=17zcSbNlHrjZ8x9KoHf1_ROrVpmvZwidu,https://drive.google.com/uc?export=download&id=17zcSbNlHrjZ8x9KoHf1_ROrVpmvZwidu
18-PPf6t_7xlJmoxkJW2UyRMgkEwoLQrD,https://drive.google.com/uc?export=view&id=18-PPf6t_7xlJmoxkJW2UyRMgkEwoLQrD,https://drive.google.com/uc?export=download&id=18-PPf6t_7xlJmoxkJW2UyRMgkEwoLQrD
180eRNvPAXhQDim3mL19w7YNef-7AwVnw,https://drive.google.com/uc?export=view&id=180eRNvPAXhQDim3mL19w7YNef-7AwVnw,https://drive.google.com/uc?export=download&id=180eRNvPAXhQDim3mL19w7YNef-7AwVnw
184j1EzCDYSl_-asBgA8idVNCdc3GdRnP,https://drive.google.com/uc?export=view&id=184j1EzCDYSl_-asBgA8idVNCdc3GdRnP,https://drive.google.com/uc?export=download&id=184j1EzCDYSl_-asBgA8idVNCdc3GdRnP
18MecZMtIxU3dBESOD3KnfiRASUifC0gT,https://drive.google.com/uc?export=view&id=18MecZMtIxU3dBESOD3KnfiRASUifC0gT,https://drive.google.com/uc?export=download&id=18MecZMtIxU3dBESOD3KnfiRASUifC0gT
18QqQzvU9KcbGfjjqUrrgqh64E4oDh_h6,https://drive.google.com/uc?export=view&id=18QqQzvU9KcbGfjjqUrrgqh64E4oDh_h6,https://drive.google.com/uc?export=download&id=18QqQzvU9KcbGfjjqUrrgqh64E4oDh_h6
18TDUVhr4OLJ9sVCk8LUNTfu8dCHiZ3OI,https://drive.google.com/uc?export=view&id=18TDUVhr4OLJ9sVCk8LUNTfu8dCHiZ3OI,https://drive.google.com/uc?export=download&id=18TDUVhr4OLJ9sVCk8LUNTfu8dCHiZ3OI
18X8kKFrQy3bKuuDI0V6OdYw54QQZTs9v,https://drive.google.com/uc?export=view&id=18X8kKFrQy3bKuuDI0V6OdYw54QQZTs9v,https://drive.google.com/uc?export=download&id=18X8kKFrQy3bKuuDI0V6OdYw54QQZTs9v
18Zv4IXbuz4kXItNUbuksueUqEj6KDgco,https://drive.google.com/uc?export=view&id=18Zv4IXbuz4kXItNUbuksueUqEj6KDgco,https://drive.google.com/uc?export=download&id=18Zv4IXbuz4kXItNUbuksueUqEj6KDgco
18b2zm1qU3STdI4yYwamz9hJ7R-bvcFDY,https://drive.google.com/uc?export=view&id=18b2zm1qU3STdI4yYwamz9hJ7R-bvcFDY,https://drive.google.com/uc?export=download&id=18b2zm1qU3STdI4yYwamz9hJ7R-bvcFDY
18mXttcO0Zs44-qaQMbFS--gMg18JENUj,https://drive.google.com/uc?export=view&id=18mXttcO0Zs44-qaQMbFS--gMg18JENUj,https://drive.google.com/uc?export=download&id=18mXttcO0Zs44-qaQMbFS--gMg18JENUj
18w6eN2-uJ8PdSqNPOlOrEP_cmBzzj0iA,https://drive.google.com/uc?export=view&id=18w6eN2-uJ8PdSqNPOlOrEP_cmBzzj0iA,https://drive.google.com/uc?export=download&id=18w6eN2-uJ8PdSqNPOlOrEP_cmBzzj0iA
19-owK7AiT8D84dQnxpXvh8wiFMUcq_2p,https://drive.google.com/uc?export=view&id=19-owK7AiT8D84dQnxpXvh8wiFMUcq_2p,https://drive.google.com/uc?export=download&id=19-owK7AiT8D84dQnxpXvh8wiFMUcq_2p
19Dnsr17W87fjKJ7dTMIFd1Ds9DO9N_10,https://drive.google.com/uc?export=view&id=19Dnsr17W87fjKJ7dTMIFd1Ds9DO9N_10,https://drive.google.com/uc?export=download&id=19Dnsr17W87fjKJ7dTMIFd1Ds9DO9N_10
19HJeQze_Cxq5Xc2ZjLP9F_8kf1jA_0rX,https://drive.google.com/uc?export=view&id=19HJeQze_Cxq5Xc2ZjLP9F_8kf1jA_0rX,https://drive.google.com/uc?export=download&id=19HJeQze_Cxq5Xc2ZjLP9F_8kf1jA_0rX
19Wl7mkM1tjO8wiM3QIDCj1FnOIuy-99r,https://drive.google.com/uc?export=view&id=19Wl7mkM1tjO8wiM3QIDCj1FnOIuy-99r,https://drive.google.com/uc?export=download&id=19Wl7mkM1tjO8wiM3QIDCj1FnOIuy-99r
19bVsEzfw_sNBTbMYL7EDxb4M6m9sVQeF,https://drive.google.com/uc?export=view&id=19bVsEzfw_sNBTbMYL7EDxb4M6m9sVQeF,https://drive.google.com/uc?export=download&id=19bVsEzfw_sNBTbMYL7EDxb4M6m9sVQeF
19rmCQPiMH3T1YRDEAnJHXGqanOR_v2wr,https://drive.google.com/uc?export=view&id=19rmCQPiMH3T1YRDEAnJHXGqanOR_v2wr,https://drive.google.com/uc?export=download&id=19rmCQPiMH3T1YRDEAnJHXGqanOR_v2wr
1AIanrWWiVCNE_3iZg6QF8ZVGlF88CSW5,https://drive.google.com/uc?export=view&id=1AIanrWWiVCNE_3iZg6QF8ZVGlF88CSW5,https://drive.google.com/uc?export=download&id=1AIanrWWiVCNE_3iZg6QF8ZVGlF88CSW5
1APbMf2-lW7vb4gUSxB89w7Sv1iaTfI27,https://drive.google.com/uc?export=view&id=1APbMf2-lW7vb4gUSxB89w7Sv1iaTfI27,https://drive.google.com/uc?export=download&id=1APbMf2-lW7vb4gUSxB89w7Sv1iaTfI27
1AVbkaG_t5_u17UQqnG1zj6HB_YVflYVw,https://drive.google.com/uc?export=view&id=1AVbkaG_t5_u17UQqnG1zj6HB_YVflYVw,https://drive.google.com/uc?export=download&id=1AVbkaG_t5_u17UQqnG1zj6HB_YVflYVw
1AkC1Bqx6SNOctP2mwPLIqetTI_h5VPY8,https://drive.google.com/uc?export=view&id=1AkC1Bqx6SNOctP2mwPLIqetTI_h5VPY8,https://drive.google.com/uc?export=download&id=1AkC1Bqx6SNOctP2mwPLIqetTI_h5VPY8
1AsRWbW7FvOlEWd02JiG8yEiBNM2Ng3H9,https://drive.google.com/uc?export=view&id=1AsRWbW7FvOlEWd02JiG8yEiBNM2Ng3H9,https://drive.google.com/uc?export=download&id=1AsRWbW7FvOlEWd02JiG8yEiBNM2Ng3H9
1B2MXNzfKiXW32KLbR7CuEz_tQrknGIrW,https://drive.google.com/uc?export=view&id=1B2MXNzfKiXW32KLbR7CuEz_tQrknGIrW,https://drive.google.com/uc?export=download&id=1B2MXNzfKiXW32KLbR7CuEz_tQrknGIrW
1B379In-vYF_P-LVDuNBZLoqTvFlGFIY2,https://drive.google.com/uc?export=view&id=1B379In-vYF_P-LVDuNBZLoqTvFlGFIY2,https://drive.google.com/uc?export=download&id=1B379In-vYF_P-LVDuNBZLoqTvFlGFIY2
1BDFwkoMe60Ubg1N-7mj6k0JDJ58rNTd0,https://drive.google.com/uc?export=view&id=1BDFwkoMe60Ubg1N-7mj6k0JDJ58rNTd0,https://drive.google.com/uc?export=download&id=1BDFwkoMe60Ubg1N-7mj6k0JDJ58rNTd0
1BMaOL29a0lu0NJcBErQ-3J4mJBvwpSTf,https://drive.google.com/uc?export=view&id=1BMaOL29a0lu0NJcBErQ-3J4mJBvwpSTf,https://drive.google.com/uc?export=download&id=1BMaOL29a0lu0NJcBErQ-3J4mJBvwpSTf
1BamSnY7FALLtVBw5402IMbYGfbLLoU9_,https://drive.google.com/uc?export=view&id=1BamSnY7FALLtVBw5402IMbYGfbLLoU9_,https://drive.google.com/uc?export=download&id=1BamSnY7FALLtVBw5402IMbYGfbLLoU9_
1Bbf3szTGeNSmZkeUV4JxTcOPKy_OjNWo,https://drive.google.com/uc?export=view&id=1Bbf3szTGeNSmZkeUV4JxTcOPKy_OjNWo,https://drive.google.com/uc?export=download&id=1Bbf3szTGeNSmZkeUV4JxTcOPKy_OjNWo
1BmSZMVqJx6sKhhrqxkmBkiieHRFd-KtP,https://drive.google.com/uc?export=view&id=1BmSZMVqJx6sKhhrqxkmBkiieHRFd-KtP,https://drive.google.com/uc?export=download&id=1BmSZMVqJx6sKhhrqxkmBkiieHRFd-KtP
1BzgrX0kZBtr1FzEXFWf5-7aTj-Nf4HUm,https://drive.google.com/uc?export=view&id=1BzgrX0kZBtr1FzEXFWf5-7aTj-Nf4HUm,https://drive.google.com/uc?export=download&id=1BzgrX0kZBtr1FzEXFWf5-7aTj-Nf4HUm
1C8PmqiEG_8lza9cJSVgD4wzmsBDymS1N,https://drive.google.com/uc?export=view&id=1C8PmqiEG_8lza9cJSVgD4wzmsBDymS1N,https://drive.google.com/uc?export=download&id=1C8PmqiEG_8lza9cJSVgD4wzmsBDymS1N
1CFJ1pJEnqRqSwPgVpVCcds0MMknW9zkb,https://drive.google.com/uc?export=view&id=1CFJ1pJEnqRqSwPgVpVCcds0MMknW9zkb,https://drive.google.com/uc?export=download&id=1CFJ1pJEnqRqSwPgVpVCcds0MMknW9zkb
1Ch1WnYhf1GArlxHT7II7K9qXuUYG3y0r,https://drive.google.com/uc?export=view&id=1Ch1WnYhf1GArlxHT7II7K9qXuUYG3y0r,https://drive.google.com/uc?export=download&id=1Ch1WnYhf1GArlxHT7II7K9qXuUYG3y0r
1CnwBWKke37sFj1Ypc3LR0rlNvx16O06m,https://drive.google.com/uc?export=view&id=1CnwBWKke37sFj1Ypc3LR0rlNvx16O06m,https://drive.google.com/uc?export=download&id=1CnwBWKke37sFj1Ypc3LR0rlNvx16O06m
1D-FG2BM2FN4psOJ9A_O618Z_nkWkI4b7,https://drive.google.com/uc?export=view&id=1D-FG2BM2FN4psOJ9A_O618Z_nkWkI4b7,https://drive.google.com/uc?export=download&id=1D-FG2BM2FN4psOJ9A_O618Z_nkWkI4b7
